tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
20.01.2017,2017,RAHMÂN’IN MÜMİN KULLARI,"Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Kur'an'ın tanıttığı ve Peygamberimizin örnek yaşantısıyla gösterdiği müminin vasıflarını -tevazu, tevekkül, sabır, doğruluk, kardeşlik- ayrıntılı biçimde anlatır. Rahmân'ın has kulu olan müminlerin kibirlenmediği, yalandan kaçındığı ve birbirine kardeş olduğu vurgulanır. Hutbe, bu vasıflara sahip olanların Allah'ın rahmet ve cennetine ulaşacağı müjdesiyle sona erer.",mümin vasıfları; tevekkül ve sabır; tevazu; kardeşlik; bal arısı benzetmesi
27.01.2017,2017,NAMAZI ZAYİ ETMEK,İbadet ve Kulluk,,"Hutbe, Meryem Suresi'nden yola çıkarak namazı zayi etmenin bir müminin en büyük kayıplarından biri olduğunu, namazın Allah'la günde beş kez gerçekleşen bir buluşma olduğunu anlatır. Namazını huşu ile kılanlarla, namazında gevşeklik gösterip riyaya kaçanlar arasındaki fark Kur'an ayetleriyle karşılaştırılır. Hutbe, namazın vaktinde ve samimiyetle kılınması gerektiği hatırlatmasıyla sona erer.",namazın önemi; huşu; namazda gevşeklik ve riya; vaktinde namaz; kur'an'da namaz uyarısı
03.02.2017,2017,"AHİT, AKİT VE MİSAK OLARAK NİKÂH","Aile, Çocuk ve Nesil",,"Hutbe, nikâhın sadece şekli bir tören değil, eşlerin Allah'ı şahit tutarak birbirine verdiği bir ahit, akit ve misak olduğunu anlatır. Ailenin temelinin sadakat, emanet bilinci, sevgi ve rahmet olduğu, günümüzde boşanma oranlarının ve aile mahremiyetinin istismarının endişe verici boyutlara ulaştığı vurgulanır. Hutbe, ailelere sevgi, sadakat ve bereket dilenmesiyle sona erer.",nikâh ve aile; sadakat; boşanma istatistikleri; aile mahremiyetinin istismarı; emanet bilinci
10.02.2017,2017,MÜMİNCE YAKARIŞIN ADI: DUA,İbadet ve Kulluk,,"Hutbe, duanın Allah'a kulluk ve teslimiyetin bir ifadesi olduğunu, ibadetin özü olarak dua etmenin önemini anlatır. Duanın sadece dille değil akıl, kalp ve azimle yapılması gerektiği, başkaları için de dua etmenin kardeşlik bilincinin bir gereği olduğu vurgulanır. Hutbe, Peygamberimizin öğrettiği dualarla ve şehitlere rahmet dileğiyle sona erer.",dua; kulluk bilinci; duanın kabulü; kardeşler için dua; ibadetin özü
17.02.2017,2017,ASR SURESİ’NİN ÖĞRETTİĞİ HAKİKATLER,"Sabır, Tevekkül ve Manevi Olgunluk",Kur'an-ı Kerim,"Hutbe, Asr Suresi'nin insanı ebedi hüsrandan kurtaracak beş hakikati -zaman bilinci, iman, salih amel, hakka çağrı ve sabır- sırayla açıklar. Zamanın en büyük nimetlerden biri olduğu ve boşa geçirilen bir ömrün en büyük ziyan olduğu vurgulanır. Hutbe, Kur'an-ı Kerim ve Peygamberimizin Hayatı derslerinin seçilmesi çağrısıyla sona erer.",asr suresi; zaman bilinci; salih amel; sabır; seçmeli din dersleri
24.02.2017,2017,ALLAH’A SIĞINMANIN EN GÜZEL İFADESİ: MUAVVİZETEYN SURESİ,İbadet ve Kulluk,"Ahlak, Erdem ve Söz","Hutbe, Felak ve Nâs surelerinin Allah'a sığınmanın en güzel ifadesi olduğunu, insanın en büyük tehlikesinin varoluş gayesini unutmak olduğunu anlatır. Bu surelerin haset, büyü, vesvese gibi her türlü şerden Allah'a sığınmayı öğrettiği, sığınmanın sadece zorlukta değil bollukta da gerekli olduğu vurgulanır. Hutbe, Peygamberimizin öğrettiği istiaze dualarıyla sona erer.",felak ve nâs sureleri; allah'a sığınma; haset ve vesvese; büyüden korunma; istiaze duaları
03.03.2017,2017,FİRDEVS CENNETİNE MİRASÇI OLMAK,"Ahlak, Erdem ve Söz",,"Hutbe, Müminûn Suresi'nin ilk on ayetinde belirtilen ve Firdevs cennetine mirasçı kılacak mümin vasıflarını -huşulu namaz, boş sözden kaçınma, zekât, iffet, emanete riayet- sırayla açıklar. Bu vasıflara sahip olanların cennetin en yüksek mertebesi olan Firdevs'e ebedi varis olacağı vurgulanır. Hutbe, müminlerin bu bahtiyar kullardan olması duasıyla sona erer.",müminûn suresi; firdevs cenneti; iffet; emanete riayet; zekât
10.03.2017,2017,KÖTÜLÜĞE ENGEL OLABİLMENİN YOLU İYİLİKTİR,"Ahlak, Erdem ve Söz",,"Hutbe, Vâbisa'nın Peygamberimize sorduğu soru üzerinden iyilik ve kötülüğün vicdanla ölçülebileceğini, iyiliğin fıtrata uygun güzellikler kötülüğün ise insanı değersizleştiren çirkinlikler olduğunu anlatır. Kur'an'da asıl iyiliğin ibadetin şekle indirgenmesi değil, iman, paylaşma, ahde vefa ve sabır olduğu vurgulanır. Hutbe, kötülüğün iyilikle savulması ve daha yaşanabilir bir dünya kurulması duasıyla sona erer.",iyilik ve kötülük; vicdan; vâbisa kıssası; asıl iyilik; kötülüğe karşı direnç
17.03.2017,2017,ŞEHADETİN DESTANLAŞTIĞI YER: ÇANAKKALE,"Vatan, Millet ve Tarih",,"Çanakkale Zaferi hutbesinde, bu savaşın imanın maddi güce karşı zaferi ve milletin Allah aşkıyla şahlandığı bir destan olduğu anlatılır. Farklı coğrafyalardan gelen askerlerin ortak değerler uğruna canlarını feda ettiği, savaşın insanlık ve ahlak dersleri de verdiği vurgulanır. Hutbe, şehitlerin mirasının nesilden nesile aktarılması ve onların değerlerine sahip çıkılması duasıyla sona erer.",çanakkale zaferi; şehadet; milli birlik; istiklal mücadelesi; vatan sevgisi
24.03.2017,2017,HİKMET YÜKLÜ ÖĞÜTLER,"Ahlak, Erdem ve Söz","Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Lokman Suresi'nde anlatılan Hz. Lokman'ın oğluna verdiği tevhid, anne-babaya iyilik, namaz, iyiliği emretme, sabır ve tevazu gibi sekiz öğüdü sırayla açıklar. Bu öğütlerin bir baba-evlat ilişkisinde sevgi, hikmet ve merhamete dayalı örnek bir model sunduğu vurgulanır. Hutbe, Recep ayı ve Regaip Kandili'nin kutlanmasıyla sona erer.",lokman suresi; baba öğütleri; tevazu; anne-babaya iyilik; recep ayı ve regaip kandili
31.03.2017,2017,"RAĞBETİMİZ, RABBİMİZE OLSUN!","Kandiller, Muharrem ve Mübarek Geceler",,"Regaip Kandili ve Recep ayı vesilesiyle hutbe, İnşirah Suresi'nin zorlukla beraber kolaylığın geleceğini müjdelediğini ve kalbin ferahlamasının iki şartının çalışmak ve Allah'a yönelmek olduğunu anlatır. Müslümanların bugün de zor bir süreçten geçtiği, bu inşiraha ulaşmak için gayret ve ihlasın gerekli olduğu vurgulanır. Hutbe, gönüllere ferahlık ve ümmetin yeniden aziz kılınması duasıyla sona erer.",inşirah suresi; regaip kandili; zorlukla beraber kolaylık; allah'a rağbet; recep ayı
07.04.2017,2017,ZULÜM EBEDİ DEĞİLDİR,İslam Coğrafyası ve Küresel Meseleler,İbadet ve Kulluk,"Hutbe, Suriye İdlib'deki kimyasal silah katliamı üzerinden zulmün ebedi olmadığını, ancak insanlığın bu zulme sessiz kalmasının daha büyük bir vebal olduğunu anlatır. Zalimin zulmüne engel olmayanların da genel bir azaba uğrayacağı, mazlumun bedduasıyla Allah arasında perde olmadığı vurgulanır. Hutbe, İdlib ve dünya genelindeki mazlumlara yardım ve zulmün son bulması duasıyla sona erer.",i̇dlib kimyasal saldırısı; zulüm ve vicdan; mazlumun bedduası; suriye savaşı; insanlığın sessizliği
14.04.2017,2017,HZ. PEYGAMBER VE GÜVEN TOPLUMU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Kandiller, Muharrem ve Mübarek Geceler","Kutlu Doğum Haftası hutbesi, Peygamberimizin güvenilirliğinden yola çıkarak iman ile emanın (güvenin) birbirinden ayrılmaz olduğunu, bugün dünyanın küresel bir güven bunalımı yaşadığını anlatır. Emin peygamberin emin ümmeti olabilmenin, güvenilir bir toplum inşa etmenin bu yılın teması olarak belirlendiği vurgulanır. Hutbe, güvenli ve huzurlu bir dünyanın inşası duasıyla sona erer.",kutlu doğum haftası; güven toplumu; emin peygamber; küresel güven bunalımı; emanet bilinci
21.04.2017,2017,MÜMİN GÜVENEN VE GÜVENİLEN İNSANDIR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Kandiller, Muharrem ve Mübarek Geceler; İslam Coğrafyası ve Küresel Meseleler","Hutbe, güvenli bir dünya kurmanın iki şartının iman etmek ve imana zulüm bulaştırmamak olduğunu, güvenin önce Allah'a duyulan imandan beslendiğini anlatır. Hz. Yunus, İbrahim, Yusuf ve Musa gibi peygamberlerin hayatlarından güven ve emanet örnekleri verilir. Hutbe, Miraç Kandili'nin kutlanması ve Kudüs'ün yeniden güven yurduna dönüşmesi duasıyla sona erer.",güven ve iman; peygamberlerin emanet örnekleri; miraç kandili; kudüs ve mescid-i aksa; emin ümmet
28.04.2017,2017,GÜVEN VE MUHABBET KÖPRÜSÜ: SELAM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, selamın müminin şiarı olduğunu ve korku, kin ile kırgınlığı ortadan kaldıran bir güven ve muhabbet köprüsü olduğunu anlatır. Peygamberimizin selamı yaymayı, muhtaçlara ikramda bulunmayı ve akrabayı gözetmeyi emrettiği, selamın evrensel bir dil olduğu vurgulanır. Hutbe, selamın, huzurun ve güvenin bütün dünyada hâkim kılınması duasıyla sona erer.",selam; güven ve muhabbet; kardeşlik; sosyal ilişkiler; selamlaşma adabı
05.05.2017,2017,NEDAMET VE ÜMİDİN ADI: TÖVBE,"Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab; İman, Tevhid ve Ahiret","Berat Kandili arifesinde hutbe, tövbenin acziyetin itirafı ve yenilenme kararlılığı olduğunu, Allah'ın tövbe edenleri sevdiğini anlatır. Hz. Âdem ve Havva'nın tövbesi örnek gösterilerek, günahta ısrar etmeyip samimi bir tövbeyle Allah'ın affına sığınmak gerektiği vurgulanır. Hutbe, Berat Kandili'nde yapılacak tövbelerin geri çevrilmeyeceği müjdesiyle ve toplu tövbe çağrısıyla sona erer.",tövbe; berat kandili; hz. âdem ve havva; allah'ın affı; nedamet
12.05.2017,2017,SAMİMİYETSİZLİĞİN ADI: RİYA,"Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret","Hutbe, tüm iyilikleri boşa çıkaran gizli bir kötülük olan riyayı, yani ibadet ve amellerde samimiyetsizliği ele almaktadır. Peygamberin riyayı küçük şirk olarak nitelendirdiği hatırlatılarak namaz, oruç, kurban ve sadaka gibi ibadetlerin ancak ihlasla değer kazanacağı, gösterişin ise insani ilişkileri de zedelediği vurgulanmaktadır. Hutbe, müminlerin ikiyüzlülükten uzak durup her işte Allah rızasını gözetmesi çağrısıyla ve ihlas duasıyla sona ermektedir.",riya; samimiyet; ihlas; gösteriş; ikiyüzlülük
19.05.2017,2017,GERÇEK ÖZGÜRLÜK: ALLAH’A KULLUK,İbadet ve Kulluk,"İman, Tevhid ve Ahiret","Hutbe, gerçek özgürlüğün ancak Allah'a kulluk ile mümkün olduğunu, insanın nefsinin arzularına ve dünyevi tutkulara esir olmasının ise asıl kölelik olduğunu anlatmaktadır. Müminin imanla özgürleştiği, hiçbir güce boyun eğmediği ve hayatını Kur'an ile Peygamber örnekliğinde şekillendirdiği vurgulanarak günümüzün tüketim ve heva çağında imanın asıl sermaye olduğu belirtilmektedir. Hutbe, yurt içi ve yurt dışında inşa edilen camilere yardım çağrısıyla ve kulluğun insana değer kattığına dair bir ayet mealiyle sona ermektedir.",özgürlük; kulluk; heva ve heves; cami yardımı; iman
26.05.2017,2017,ÜZERİMİZDE HER CANIN HAKKI VARDIR,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ramazan, Oruç ve Bayramlar","Hutbe, Ramazan'ın başlangıcı vesilesiyle insanın üzerinde anne-baba, eş, çocuk, akraba, komşu ve yetimler başta olmak üzere her canlının bir hakkı bulunduğunu anlatmaktadır. Ramazan mektebinin oruç, sahur ve iftarın ötesinde bu hakları hatırlatan ve pekiştiren bir eğitim süreci olduğu, herkesin kendi hakkını ancak başkalarının hakkına riayet ettiği ölçüde koruyabileceği vurgulanmaktadır. Hutbe, Diyanet'in bu Ramazan boyunca hak kavramına dikkat çekeceğini duyurarak haklara riayet eden kullar olma duasıyla sona ermektedir.",kul hakkı; ramazan; anne baba hakkı; yetim; komşuluk
02.06.2017,2017,ORUCUN AÇLIĞI AÇGÖZLÜLÜĞÜ TEDAVİ EDER,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, orucun insanı imsaktan iftara kadar aç bırakarak asıl tedavi ettiği şeyin açgözlülük ve tamahkârlık olduğunu, Tekâsür suresi çerçevesinde açıklamaktadır. Dünyadaki çatışmaların, çevre tahribatının ve insanlığın maruz kaldığı kötülüklerin temelinde bu açgözlülüğün yattığı, Ramazan'ın ise paylaşmayı, kanaati ve gönül tokluğunu öğrettiği vurgulanmaktadır. Hutbe, o günlerde yaşanan şehadet haberleri dolayısıyla şehitlere rahmet ve gazilere şifa duasıyla sona ermektedir.",açgözlülük; tekasür; oruç; kanaat; tamahkarlık
09.06.2017,2017,KUR’AN AYINDA KUR’AN’LA BULUŞALIM,"Aile, Çocuk ve Nesil",,"Hutbe, çocukların Allah'ın birer emaneti olduğunu ve onları küçük yaştan itibaren Kur'an ile tanıştırmanın anne-babaların en büyük görevi ve mirası olduğunu anlatmaktadır. Peygamberin torununa gösterdiği şefkatten yola çıkılarak yaz Kur'an kurslarının açılışı vesilesiyle çocukların cami, minber ve mihrapla buluşturulması gerektiği vurgulanmaktadır. Hutbe, çocukların ve eşlerin göz aydınlığı kılınması için yapılan Kur'ani dualarla sona ermektedir.",çocuk terbiyesi; kuran kursu; yaz kursu; çocuk eğitimi; ebeveynlik
16.06.2017,2017,"ZEKÂT, KAZANCI ARTIRIR; FAİZ YOK EDER","Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Hutbe, zekat ve sadaka gibi infak çeşitlerinin malı bereketlendirdiğini, buna karşılık faizin haksız kazanç olarak malı ve toplumu çürüttüğünü anlatmaktadır. Peygamberin yedi helak edici günah arasında saydığı faizin, alın terine dayanmayan kazanç olması sebebiyle Allah katında büyük bir günah olduğu vurgulanmaktadır. Hutbe, yaklaşan Kadir Gecesi'nin tebrik edilmesi ve bu gecenin bir muhasebe fırsatı olarak değerlendirilmesi çağrısıyla sona ermektedir.",zekat; faiz; infak; sadaka; kadir gecesi
23.06.2017,2017,ÖMRÜMÜZÜ RAMAZAN KILABİLMEK,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Ramazan ayının sona ermesi vesilesiyle bu ayın oruç, teravih, sahur ve infak yoluyla müminlere kazandırdığı manevi disiplin ve kardeşlik duygusunu değerlendirmektedir. Ramazan'ın öğrettiği sabır, şükür ve paylaşma erdemlerinin sadece bu aya has kalmayıp tüm yıla yayılması gerektiği vurgulanmaktadır. Hutbe, bayram tatili dönüşü yaşanan trafik kazalarına dikkat çekilerek herkesin trafik kurallarına uyması çağrısı ve bir dua ile sona ermektedir.",ramazan sonu; veda; muhasebe; trafik kazaları; salih amel
25.06.2017,2017,RAMAZAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar","Hutbe, Ramazan Bayramı'nın oruç, iftar ve sahur ile geçirilen bir ayın ardından müminlere getirdiği huzur, dayanışma ve kardeşliği anlatmaktadır. Bayramın farklılıkları unutturup birlik oluşturan, fitne ve tefrikaya karşı duran bir sevinç günü olduğu; yetimlerin, gariplerin ve zor durumdaki kardeşlerin bu sevince ortak edilmesi gerektiği vurgulanmaktadır. Hutbe, şehitlerin ve geçmişlerin rahmetle anılması ve bayram sevincinin herkese ulaşması duasıyla sona ermektedir.",ramazan bayramı; kardeşlik; dayanışma; birlik; bayram sevinci
30.06.2017,2017,ALLAH’IN SIKI TUTULMASINI EMRETTİĞİ BAĞ: SILA-İ RAHİM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, akrabalık bağlarını sıkı tutmanın yani sıla-i rahmin dinî bir emir olduğunu ve Allah'ın rahmetine ulaşmanın önemli bir vesilesi olduğunu anlatmaktadır. Akrabalarla ilgilenmenin, onların sevinç ve kederini paylaşmanın karşılıksız da olsa sürdürülmesi gerektiği; asıl faziletin görmediklerimize de iyilik edebilmek olduğu vurgulanmaktadır. Hutbe, herkesin anne-baba, eş, evlat, akraba ve komşularıyla ilişkilerini ihmal etmemesi çağrısıyla sona ermektedir.",sıla-i rahim; akrabalık; komşuluk; aile bağları; merhamet
07.07.2017,2017,İMANIMIZ VE İNSANLIĞIMIZIN İMTİHANI: MÜLTECİLER,İbadet ve Kulluk,"Vatan, Millet ve Tarih; İslam Coğrafyası ve Küresel Meseleler","Hutbe, Ensar'ın Muhacirlere gösterdiği fedakarlığı örnek göstererek Türk milletinin de tarih boyunca mültecilere kucak açtığını ve bunun imanın ve insanlığın bir imtihanı olduğunu anlatmaktadır. Suriye'den kaçan sığınmacılara yönelik yürütülen olumsuz algı operasyonlarına karşı feraset ve sağduyu çağrısı yapılarak misafirperverliğin bir külfet değil rahmet vesilesi olarak görülmesi gerektiği vurgulanmaktadır. Hutbe, 15 Temmuz yıldönümü vesilesiyle şehitlere rahmet ve gazilere şifa duasıyla sona ermektedir.",mülteciler; ensar muhacir; sığınmacılar; misafirperverlik; 15 temmuz
14.07.2017,2017,SALÂLARIN ŞAHİT OLDUĞU DİRENİŞ: 15 TEMMUZ,"Vatan, Millet ve Tarih",,"Hutbe, 15 Temmuz darbe girişiminin birinci yıldönümü vesilesiyle o gece yaşanan direnişi Allah'ın millete olan yardımının bir tezahürü olarak anlatmaktadır. Halkın imanından aldığı güçle sokaklara çıkması, salâların okunması ve milletin birlik ruhuyla ihaneti püskürtmesi, tarihteki diğer zaferlerle (Malazgirt, Çanakkale) aynı ruhun devamı olarak sunulmaktadır. Hutbe, darbe girişiminin dini istismar eden bir ihanet şebekesi tarafından yapıldığı hatırlatılarak şehitlere rahmet, gazilere şifa duasıyla sona ermektedir.",15 temmuz; darbe girişimi; salâ; milli direniş; birlik ruhu
21.07.2017,2017,TÜKENMEYEN HÜZNÜMÜZ: KUDÜS VE MESCİD-İ AKSÂ,İslam Coğrafyası ve Küresel Meseleler,,"Hutbe, İslam'ın ilk kıblesi ve üç semavi dinin kutsal saydığı Kudüs ile Mescid-i Aksa'nın tarihi önemini ve bugün maruz kaldığı işgal ve baskıları anlatmaktadır. 1967'den bu yana ilk kez Mescid-i Aksa'da Cuma namazı kılınamamasının hatırlatılmasıyla mabetlere yönelik engellemenin hiçbir hukuki ve dini dayanağının olamayacağı vurgulanmaktadır. Hutbe, İslam ümmetinin birlik bilinciyle Kudüs'teki mazlumların yanında olması gerektiğine dair bir dua ile sona ermektedir.",kudüs; mescid-i aksa; işgal; filistin; ümmet bilinci
28.07.2017,2017,"YARATAN, YAŞATAN, HİDAYET VEREN ALLAH’TIR","İman, Tevhid ve Ahiret",,"Hutbe, Şuara suresindeki ayetler çerçevesinde Allah'ın yaratan, rızık veren, şifa veren, öldüren ve dirilten yegane varlık olduğunu anlatarak İhlas suresiyle tevhid inancını pekiştirmektedir. Müminlere düşen görevin doğru yolda ilerlemek, helal rızık peşinde koşmak, musibetlere sabırla göğüs germek ve son nefese kadar tövbe kapısını açık tutmak olduğu vurgulanmaktadır. Hutbe, Hz. İbrahim'in Kur'an'da geçen hikmet ve salihlik duasıyla sona ermektedir.",tevhid; ihlas suresi; rızık; şifa; tövbe
04.08.2017,2017,RAHMAN’A HAS KUL OLABİLMEK,"Ahlak, Erdem ve Söz",,"Hutbe, Kur'an'da övülen 'Rahman'ın has kulları'nın özelliklerini; tevazu, boş sözlerden kaçınma, gece ibadeti, dengeli harcama ve doğruluk gibi erdemler üzerinden anlatmaktadır. Bu kulların kibirden uzak durduğu, iffetlerini koruduğu, yalancı şahitlikten kaçındığı ve Allah'ın ayetlerine kulak verdiği vurgulanarak örnek bir mümin profili çizilmektedir. Hutbe, bu vasıflara sahip olanların cennetle müjdelendiği ifadesiyle sona ermektedir.",rahmanın kulları; tevazu; iffet; israf etmemek; dengeli yaşam
